id,config.x,config.y,result,metadata.timing.start,metadata.timing.end,metadata.search-mode
230123-142349-3493-lost-shoe,-3.7933444877654,-3.282977051002776,14.831927185359705,1674483829.349525,1674483829.349529,bayesian-optimization
230123-142350-0802-wiry-push,-3.788991013584164,-3.2758718164568803,14.839450070329631,1674483830.080473,1674483830.080477,bayesian-optimization
230123-142350-7693-same-ease,-3.789379212019744,-3.286885526157892,14.823885163725134,1674483830.769568,1674483830.769572,bayesian-optimization
230123-142351-4693-rosy-dirt,-3.768895131519446,-3.288589082462312,14.836131395823363,1674483831.469529,1674483831.469533,bayesian-optimization
230123-142352-2552-nice-unit,-3.798586393343191,-3.282361565904034,14.840533516391336,1674483832.255467,1674483832.255471,bayesian-optimization
230123-142352-9754-wide-poem,4.5,-3.666852260101417,169.5653444125833,1674483832.975669,1674483832.975673,bayesian-optimization
230123-142353-9598-dark-camp,-3.783138389837368,-3.279677980793948,14.830527314090762,1674483833.960073,1674483833.960077,bayesian-optimization
230123-142355-1164-both-loss,-3.791191530942904,-3.2789240969333364,14.835943384086194,1674483835.116629,1674483835.116633,bayesian-optimization
230123-142356-0284-wise-push,-3.8765598158247694,-3.3295688628538067,15.263437922814653,1674483836.028647,1674483836.028651,bayesian-optimization
230123-142356-8787-real-pace,-3.752008184038456,-3.2963587675099184,14.888497503483777,1674483836.878966,1674483836.878971,bayesian-optimization
230123-142357-7699-taut-body,-3.786426728701524,-3.284393421435416,14.82516420859642,1674483837.770164,1674483837.770168,bayesian-optimization
230123-142358-8482-near-gene,-3.7902393954878,-3.2766880821907733,14.839021700935168,1674483838.848416,1674483838.84842,bayesian-optimization
230123-142359-9662-dual-flow,-3.78795248680402,-3.2815441597483326,14.829351095196618,1674483839.96651,1674483839.966513,bayesian-optimization
230123-142401-1748-mean-soil,-3.789700484826494,-3.293090504128641,14.819781308829898,1674483841.17508,1674483841.175084,bayesian-optimization
230123-142402-1915-full-disk,-3.859413834547933,-3.1791243444500195,15.970134312503667,1674483842.191795,1674483842.191799,bayesian-optimization
230123-142403-2123-soft-wall,-3.781271454600171,-3.297286799331647,14.820327869638412,1674483843.212596,1674483843.212601,bayesian-optimization
230123-142404-0977-arid-kill,-3.780846605313289,-3.29763852890122,14.820702175069815,1674483844.097951,1674483844.097955,bayesian-optimization
230123-142405-0266-high-area,-3.7808918202190123,-3.297679031147262,14.820679024756657,1674483845.026905,1674483845.026909,bayesian-optimization
